,larva(0),larva(1),larva(2),larva(3),larva(4),larva(7),larva(9)
mom_x(0),624,185,642,878,126,409,881
mom_x(1),624,185,642,878,126,410,881
mom_x(2),625,185,642,877,126,411,881
mom_x(3),625,185,642,877,126,411,881
mom_x(4),625,185,642,877,126,413,881
mom_x(5),626,185,642,877,126,414,881
mom_x(6),626,185,642,876,125,415,881
mom_x(7),626,185,641,876,125,415,882
mom_x(8),626,185,642,876,125,416,882
mom_x(9),627,185,642,877,125,416,882
mom_x(10),627,185,642,877,125,418,882
mom_x(11),627,185,642,878,125,418,883
mom_x(12),627,185,643,878,125,418,883
mom_x(13),627,185,644,879,125,420,882
mom_x(14),627,185,645,879,125,421,882
mom_x(15),627,185,646,879,125,423,882
mom_x(16),626,185,646,879,125,422,882
mom_x(17),626,185,646,879,125,423,882
mom_x(18),626,185,646,880,125,423,883
mom_x(19),626,185,646,880,124,422,883
mom_x(20),625,185,646,880,125,425,883
mom_x(21),625,185,647,880,124,426,883
mom_x(22),624,185,648,881,124,426,883
mom_x(23),624,185,648,881,124,426,884
mom_x(24),624,185,648,881,124,425,884
mom_x(25),624,185,648,882,124,425,884
mom_x(26),624,185,648,882,124,425,884
mom_x(27),625,185,649,882,124,425,884
mom_x(28),625,185,650,883,124,426,884
mom_x(29),625,185,651,883,124,426,884
mom_x(30),626,185,652,883,123,427,885
mom_x(31),626,185,652,883,123,427,885
mom_x(32),627,185,652,883,123,427,885
mom_x(33),627,186,652,884,123,427,885
mom_x(34),627,186,652,883,123,427,885
mom_x(35),628,185,653,883,123,428,885
mom_x(36),628,185,653,884,123,428,885
mom_x(37),628,185,653,885,123,428,885
mom_x(38),629,185,653,885,123,428,885
mom_x(39),629,185,653,886,123,428,886
mom_x(40),629,185,653,886,122,429,886
mom_x(41),630,185,655,886,122,429,886
mom_x(42),630,185,655,886,122,429,886
mom_x(43),630,185,655,886,122,429,887
mom_x(44),630,185,655,886,122,428,887
mom_x(45),630,185,655,887,122,427,886
mom_x(46),630,185,655,887,122,427,887
mom_x(47),630,185,656,887,122,427,887
mom_x(48),631,185,655,887,122,427,887
mom_x(49),631,185,654,887,122,427,887
mom_x(50),631,185,652,888,122,427,888
mom_x(51),631,185,651,888,122,427,888
mom_x(52),632,185,652,888,121,427,888
mom_x(53),633,185,652,888,121,427,888
mom_x(54),632,185,655,888,121,428,888
mom_x(55),633,185,655,888,121,428,888
mom_x(56),633,185,655,888,121,428,888
mom_x(57),633,184,655,888,121,428,888
mom_x(58),633,185,654,888,120,428,888
mom_x(59),634,185,654,888,121,428,888
mom_x(60),634,185,653,888,121,428,889
mom_x(61),635,185,653,887,121,429,889
mom_x(62),635,185,652,887,121,429,889
mom_x(63),635,185,652,886,121,428,890
mom_x(64),636,185,651,886,120,429,890
mom_x(65),636,185,651,886,120,429,890
mom_x(66),637,185,651,886,120,429,890
mom_x(67),637,185,651,885,120,429,890
mom_x(68),638,185,651,885,120,429,890
mom_x(69),638,185,652,884,120,430,890
mom_x(70),638,185,652,882,120,430,890
mom_x(71),639,185,652,881,120,430,891
mom_x(72),639,184,652,881,119,430,890
mom_x(73),639,184,653,881,120,431,891
mom_x(74),639,185,653,883,120,430,891
mom_x(75),638,185,653,883,120,430,891
mom_x(76),637,185,653,883,120,430,891
mom_x(77),636,185,653,883,120,431,891
mom_x(78),636,185,653,883,120,432,890
mom_x(79),635,185,653,882,120,433,890
mom_x(80),635,185,653,882,119,433,890
mom_x(81),635,185,654,882,119,433,890
mom_x(82),634,185,654,882,119,434,890
mom_x(83),634,185,654,882,118,434,890
mom_x(84),634,185,654,882,118,434,890
mom_x(85),634,185,654,882,118,435,890
mom_x(86),634,185,654,882,118,435,890
mom_x(87),634,185,655,882,118,436,890
mom_x(88),634,186,655,881,118,436,890
mom_x(89),634,186,655,881,118,436,890
mom_x(90),634,186,656,881,118,437,889
mom_x(91),634,186,656,881,117,437,889
mom_x(92),634,186,656,880,117,437,889
mom_x(93),634,186,656,880,117,438,889
mom_x(94),634,186,656,880,117,438,889
mom_x(95),634,186,657,880,117,438,890
mom_x(96),634,186,657,880,117,438,890
mom_x(97),634,186,658,880,117,439,890
mom_x(98),634,186,658,880,117,439,890
