,larva(1),larva(5),larva(6),larva(8)
mom_x(0),852,845,1159,936
mom_x(1),851,845,1160,935
mom_x(2),851,845,1160,936
mom_x(3),850,843,1160,936
mom_x(4),850,842,1160,936
mom_x(5),849,842,1161,935
mom_x(6),848,841,1161,935
mom_x(7),848,841,1162,935
mom_x(8),847,841,1163,933
mom_x(9),847,840,1163,934
mom_x(10),847,839,1163,933
mom_x(11),846,839,1163,933
mom_x(12),845,838,1163,932
mom_x(13),844,838,1164,932
mom_x(14),843,837,1164,932
mom_x(15),843,836,1165,932
mom_x(16),842,836,1165,932
mom_x(17),841,836,1165,931
mom_x(18),841,834,1166,931
mom_x(19),840,834,1165,931
mom_x(20),840,834,1165,931
mom_x(21),839,833,1166,931
mom_x(22),838,832,1165,930
mom_x(23),837,832,1166,930
mom_x(24),836,832,1166,929
mom_x(25),835,831,1167,928
mom_x(26),835,830,1167,928
mom_x(27),834,829,1168,927
mom_x(28),833,829,1168,927
mom_x(29),833,828,1168,927
mom_x(30),833,828,1168,927
mom_x(31),832,827,1169,927
mom_x(32),831,826,1169,927
mom_x(33),830,825,1170,926
mom_x(34),829,825,1170,926
mom_x(35),828,824,1170,925
mom_x(36),827,823,1170,925
mom_x(37),826,823,1170,925
mom_x(38),825,822,1170,925
mom_x(39),825,822,1170,925
mom_x(40),825,821,1170,925
mom_x(41),824,821,1170,924
mom_x(42),823,820,1170,923
mom_x(43),822,820,1170,922
mom_x(44),821,819,1171,922
mom_x(45),821,818,1171,922
mom_x(46),819,818,1171,922
mom_x(47),818,817,1170,921
mom_x(48),818,816,1170,921
mom_x(49),817,816,1169,921
mom_x(50),817,816,1170,921
mom_x(51),816,815,1170,920
mom_x(52),815,815,1170,919
mom_x(53),813,814,1170,919
mom_x(54),813,813,1170,919
mom_x(55),812,812,1171,919
mom_x(56),811,811,1171,919
mom_x(57),810,811,1171,918
mom_x(58),810,810,1171,918
mom_x(59),809,809,1171,917
mom_x(60),809,809,1171,916
mom_x(61),808,809,1171,916
mom_x(62),806,808,1171,916
mom_x(63),805,808,1171,915
mom_x(64),805,807,1172,915
mom_x(65),805,806,1172,915
mom_x(66),804,805,1173,914
mom_x(67),803,804,1173,913
mom_x(68),802,803,1174,913
mom_x(69),802,802,1174,913
mom_x(70),802,802,1174,913
mom_x(71),801,802,1174,913
mom_x(72),800,802,1175,913
mom_x(73),798,801,1175,912
mom_x(74),797,799,1176,911
mom_x(75),797,799,1176,910
mom_x(76),796,798,1177,910
mom_x(77),795,798,1177,910
mom_x(78),794,797,1178,909
mom_x(79),794,796,1179,909
mom_x(80),793,796,1179,909
mom_x(81),792,795,1180,908
mom_x(82),791,795,1180,908
mom_x(83),790,795,1180,907
mom_x(84),789,794,1181,907
mom_x(85),788,793,1181,906
mom_x(86),787,792,1182,906
mom_x(87),786,791,1182,906
mom_x(88),786,791,1183,906
mom_x(89),785,789,1184,905
mom_x(90),785,789,1184,905
mom_x(91),784,788,1185,904
mom_x(92),783,788,1186,903
mom_x(93),782,787,1186,904
mom_x(94),781,786,1186,903
mom_x(95),780,785,1186,903
mom_x(96),779,785,1187,903
mom_x(97),778,785,1187,902
mom_x(98),778,784,1188,902
mom_x(99),778,783,1188,902
mom_x(100),777,782,1189,901
mom_x(101),776,782,1189,901
mom_x(102),775,782,1190,900
mom_x(103),774,781,1190,900
mom_x(104),774,781,1191,900
mom_x(105),772,780,1192,900
mom_x(106),771,779,1193,900
mom_x(107),770,778,1192,899
mom_x(108),770,778,1193,898
mom_x(109),770,778,1193,897
mom_x(110),769,777,1193,897
mom_x(111),768,777,1194,897
mom_x(112),767,776,1195,897
mom_x(113),766,775,1196,897
mom_x(114),765,775,1196,896
mom_x(115),764,775,1197,896
mom_x(116),763,775,1199,895
mom_x(117),762,774,1199,894
mom_x(118),762,773,1199,894
mom_x(119),761,772,1199,894
mom_x(120),761,772,1199,894
mom_x(121),760,771,1199,894
mom_x(122),759,770,1200,893
mom_x(123),758,769,1201,893
