,larva(1),larva(4),larva(6)
mom_x(0),939,1030,855
mom_x(1),940,1030,855
mom_x(2),940,1031,856
mom_x(3),940,1032,856
mom_x(4),941,1033,856
mom_x(5),941,1033,856
mom_x(6),942,1034,856
mom_x(7),943,1035,857
mom_x(8),944,1037,856
mom_x(9),944,1037,856
mom_x(10),944,1036,856
mom_x(11),945,1037,856
mom_x(12),945,1037,857
mom_x(13),946,1038,857
mom_x(14),947,1039,857
mom_x(15),948,1041,857
mom_x(16),948,1042,857
mom_x(17),947,1042,857
mom_x(18),948,1043,858
mom_x(19),948,1044,858
mom_x(20),949,1045,858
mom_x(21),950,1044,858
mom_x(22),951,1044,859
mom_x(23),951,1045,860
mom_x(24),951,1046,860
mom_x(25),952,1047,860
mom_x(26),954,1049,859
mom_x(27),955,1050,860
mom_x(28),956,1050,859
mom_x(29),956,1050,860
mom_x(30),956,1051,860
mom_x(31),957,1052,860
mom_x(32),957,1053,861
mom_x(33),958,1053,861
mom_x(34),959,1054,861
mom_x(35),959,1054,862
mom_x(36),959,1054,862
mom_x(37),960,1055,862
mom_x(38),961,1056,863
mom_x(39),962,1057,863
mom_x(40),962,1057,864
mom_x(41),963,1058,864
mom_x(42),963,1059,864
mom_x(43),963,1060,864
mom_x(44),964,1060,864
mom_x(45),965,1060,864
mom_x(46),966,1060,864
mom_x(47),966,1061,864
mom_x(48),967,1061,864
mom_x(49),968,1063,865
mom_x(50),969,1064,865
mom_x(51),969,1064,865
mom_x(52),969,1064,865
mom_x(53),970,1065,866
mom_x(54),970,1065,866
mom_x(55),972,1066,867
mom_x(56),973,1066,868
mom_x(57),973,1066,868
mom_x(58),974,1067,868
mom_x(59),974,1067,868
mom_x(60),975,1068,868
mom_x(61),976,1069,868
mom_x(62),976,1069,868
mom_x(63),977,1069,869
mom_x(64),978,1069,870
mom_x(65),978,1070,870
mom_x(66),978,1071,870
mom_x(67),979,1072,871
mom_x(68),980,1072,871
mom_x(69),980,1072,872
mom_x(70),980,1072,872
mom_x(71),981,1073,873
mom_x(72),982,1073,874
mom_x(73),983,1074,873
mom_x(74),983,1075,874
mom_x(75),983,1076,874
mom_x(76),983,1077,874
mom_x(77),984,1078,874
mom_x(78),984,1079,874
mom_x(79),985,1079,875
mom_x(80),985,1079,875
mom_x(81),985,1079,875
mom_x(82),985,1080,876
mom_x(83),985,1080,876
mom_x(84),986,1082,876
mom_x(85),986,1083,876
mom_x(86),986,1084,877
mom_x(87),986,1084,878
mom_x(88),987,1085,878
mom_x(89),987,1086,878
mom_x(90),989,1086,878
mom_x(91),990,1086,878
mom_x(92),990,1087,878
mom_x(93),990,1087,878
mom_x(94),990,1088,879
mom_x(95),990,1089,880
mom_x(96),991,1090,880
mom_x(97),992,1090,880
mom_x(98),992,1090,880
mom_x(99),992,1091,881
mom_x(100),993,1092,881
mom_x(101),993,1092,882
mom_x(102),994,1093,883
mom_x(103),995,1093,883
mom_x(104),994,1093,883
mom_x(105),994,1094,882
mom_x(106),995,1095,882
mom_x(107),996,1096,883
mom_x(108),997,1096,883
mom_x(109),998,1096,884
mom_x(110),998,1096,884
mom_x(111),998,1097,884
mom_x(112),998,1097,884
mom_x(113),998,1098,885
mom_x(114),999,1099,885
mom_x(115),999,1099,885
mom_x(116),999,1099,885
mom_x(117),1000,1100,885
mom_x(118),1001,1100,885
mom_x(119),1002,1101,885
mom_x(120),1003,1102,885
mom_x(121),1003,1103,884
mom_x(122),1003,1103,884
mom_x(123),1003,1104,884
mom_x(124),1004,1105,885
mom_x(125),1004,1106,884
mom_x(126),1004,1107,884
mom_x(127),1005,1107,884
mom_x(128),1006,1106,884
mom_x(129),1006,1107,884
mom_x(130),1006,1107,884
mom_x(131),1004,1109,885
mom_x(132),1004,1109,885
mom_x(133),1005,1110,885
mom_x(134),1006,1110,886
mom_x(135),1007,1111,886
mom_x(136),1008,1112,887
mom_x(137),1009,1112,887
mom_x(138),1010,1114,887
mom_x(139),1010,1114,887
mom_x(140),1011,1114,887
mom_x(141),1012,1114,888
mom_x(142),1012,1115,888
mom_x(143),1013,1115,888
mom_x(144),1013,1117,888
mom_x(145),1014,1118,889
mom_x(146),1014,1118,889
mom_x(147),1015,1118,889
mom_x(148),1015,1118,889
mom_x(149),1015,1119,889
mom_x(150),1014,1120,890
mom_x(151),1014,1120,890
mom_x(152),1014,1121,890
mom_x(153),1014,1121,891
mom_x(154),1015,1121,891
mom_x(155),1015,1121,891
mom_x(156),1017,1121,891
mom_x(157),1018,1123,891
mom_x(158),1018,1124,891
mom_x(159),1019,1125,892
mom_x(160),1019,1125,892
mom_x(161),1019,1125,892
mom_x(162),1020,1125,892
mom_x(163),1021,1125,893
mom_x(164),1021,1125,893
mom_x(165),1021,1126,893
mom_x(166),1022,1127,894
mom_x(167),1022,1128,894
mom_x(168),1023,1128,894
mom_x(169),1024,1128,895
mom_x(170),1024,1128,895
mom_x(171),1025,1129,895
mom_x(172),1026,1129,895
mom_x(173),1027,1131,895
mom_x(174),1027,1131,895
mom_x(175),1027,1131,896
mom_x(176),1027,1131,896
mom_x(177),1028,1132,896
mom_x(178),1030,1132,896
mom_x(179),1030,1133,897
mom_x(180),1031,1134,897
mom_x(181),1033,1135,897
mom_x(182),1033,1135,898
mom_x(183),1033,1135,898
mom_x(184),1034,1135,898
mom_x(185),1034,1136,899
mom_x(186),1034,1137,898
mom_x(187),1035,1138,898
mom_x(188),1036,1139,899
